#,Date,Version,Reported By,Description of Issue,"Bug, New Feature, or Issue",Priority,Person Responsible,In Progress?,Date Resolved (actual or expected),Status or Description of Resolution,Notes
1,8/28/2026,1,PJK,"When signing in, goes to leaderboard. Not sure that makes the most sense as a post sign in landing page",Issue,Medium,AA,No,8/29/2026,"Resolved: signing in lands on the user's workspace — My submissions if they have any, otherwise the Submit page (with Test your package first) for a new account. Links that carried a ?next= target still go where the user was heading.",
2,8/28/2026,1,PJK,"Remove references to McMaster Automotive Resource Centre, electrification@mcmaster.ca, and Prof. Ali Emadi.",Issue,High,AA,No,8/29/2026,"Resolved: MARC / electrification.mcmaster.ca / Dr. Emadi removed from the landing page, About, Contact, Terms/Privacy, footer, e-mail footer, PDF header/footer, site metadata and README. Affiliation is now ""Dr. Phillip Kollmeyer's battery research group, Department of Electrical and Computer Engineering, McMaster University"" with the JHE/1280 Main St W address.","Dr. Emadi remains as a co-author in the two paper citations (ITEC 2022 paper and Borealis dataset) since those are bibliographic facts. If the group has a website, send the URL and it will replace the removed links."
3,8/28/2026,1,PJK,"Coulomb is a unit, it doesn't need to be capitalized as it is on the landing page",Issue,Low,AA,No,8/29/2026,"Resolved: ""coulomb counting"" / ""a coulomb counter"" in prose on the landing and Examples pages.","Kept ""Coulomb Counter"" as the capitalised model-type label in the dropdown/badges (label style, like ""Extended Kalman Filter""). Say if you want that lowercase too."
4,8/28/2026,1,PJK,Check rules for NSERC and McMaster logos,Issue,Medium,AA/PJK,No,8/29/2026,"Rules checked and written into README §16. McMaster: faculty/staff may use the logo for McMaster initiatives (research groups/centres); a research-group website needs an approved logo lockup requested via Brand Marketing's Logo Request Form (brandmrk@mcmaster.ca); min 100 px, keep clear space, never alter/redraw. NSERC: grantees are required to acknowledge NSERC and may use the NSERC signature (download from nserc-crsng.canada.ca → Acknowledgement and logos); min 100 px, clear space = half the symbol height, NSERC red #DF202D, Canada wordmark must stay.","Action for PJK: submit the McMaster Logo Request Form (or forward the approved files); download the NSERC digital colour signature. The site currently shows text-only placeholder wordmarks. NSERC also encourages a bilingual project description on funded websites — a French summary paragraph is a small follow-up if wanted."
5,8/28/2026,1,PJK,Acknowledge NSERC Discovery Grant RGPIN-2024-06796,New Feature,High,AA,No,8/29/2026,"Resolved: ""This work was supported by Canada's Natural Sciences and Engineering Research Council (NSERC) Discovery Grant RGPIN-2024-06796."" appears in the footer ""Supported by"" block, on About (with the French NSERC line), in every e-mail footer and on every PDF report.","NSERC's official name is ""Natural Sciences"" (the request said ""National""); used the official wording."
6,8/28/2026,1,PJK,"People: current and past; remove Dr. Emadi; add Ahmad, Ahnaf, the two interns; Fauzia, Mina and Atjen von Liebenstein as past; correct PJK title",New Feature,Medium,AA,No,8/29/2026,"Resolved: About → People now has Current (Dr. Phillip J. Kollmeyer — Assistant Professor, Electrical and Computer Engineering; Ahmad Ali; Ahnaf Akif Rahman; Paarth Kadakia; Aidan McLean) and Past contributors (Mina Naguib, Fauzia Khanum, Atjen von Liebenstein with a link to the IEEE paper).","Please check the one-line roles I wrote for Ahnaf, Paarth and Aidan and the wording for Atjen (""Embedded deployment and complexity of SOC estimators""). Edit in src/app/(marketing)/about/page.tsx (PEOPLE constant) or tell Ahmad."
7,8/28/2026,1,PJK,"""The blinded evaluation uses 144 cycles at six temperatures"" is not quite right; tests go beyond the cycles",Issue,Medium,AA,No,8/29/2026,"Resolved: one shared sentence (EVALUATION_SCOPE in src/lib/test-cases.ts) used everywhere: ""144 blinded drive cycles (four cells, six temperatures from −20 °C to 40 °C) plus the robustness tests — wrong initial SOC, current-sensor offsets and charging profiles — 195 evaluation runs in all"". Landing hero, stats tile (""144 + 51 blinded drive cycles + robustness runs""), test-run result box and the Methodology page updated.",
8,8/28/2026,1,PJK,Plotted results when testing a model are inconsistent with the numbers above (6.1 % max error vs 5.5 % in the plot),Bug,Medium,AA,No,8/29/2026,"Resolved: traces are down-sampled to ~240 points for display and the sample with the largest error was usually dropped. The evaluator now always keeps the max-|error| sample in every plotted trace (test runs and full evaluations), so the plot's peak equals the reported max error.","Applies to evaluations run after this deploy; older stored traces keep the old down-sampling."
9,8/28/2026,1,PJK,"Submitting gives a choice for static evaluation, not sure what this means",Issue,Low,AA,No,8/29/2026,"Resolved: the ""Evaluation level"" (dynamic/static) selector is removed from the submit form; every submission is evaluated the same way. The field still exists in the database for the historical rows.","The dynamic/static distinction came from the old site and was never defined for the new evaluator. If a second evaluation mode is ever wanted (e.g. characterisation-only), it can be re-added."
10,8/28/2026,1,PJK,"When submitting, should be able to use the same model already uploaded in the testing section",New Feature,Medium,AA,No,8/29/2026,"Resolved: after a successful test run there is a ""Use this package for the submission"" button; it fills the upload box of the submission form with the same .zip and scrolls to it, so only the details need typing.",
11,8/28/2026,1,PJK,"""Structural checks"" run instantly — consider different terminology",Issue,Low,AA,No,8/29/2026,"Resolved: ""package checks (layout, file names, function signature)"" everywhere (submit form, confirmation banner, Methodology page, submit page header).",
